"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
1975,"Pedro MARSET CAMPOS","Pedro","MARSET CAMPOS","https://www.europarl.europa.eu/mepphoto/1975.jpg",FALSE,"1941-09-11T00:00:00","Valencia","4-5","1994-07-19T00:00:00","2004-07-19T00:00:00","Graduate in medicine (1965); Doctor of medicine (1972). Specialist in psychiatry (1967). Professor of medicine (1975)."
1586,"John Leslie MARSHALL","John Leslie","MARSHALL","https://www.europarl.europa.eu/mepphoto/1586.jpg",FALSE,"1940-08-19T00:00:00","London","1-2","1979-07-17T00:00:00","1989-07-24T00:00:00","MA, St. Andrew's University. ACIS (Associate of the Chartered Institute of Secretaries). Educated at Glasgow Academy."
1602,"Claudio MARTELLI","Claudio","MARTELLI","https://www.europarl.europa.eu/mepphoto/1602.jpg",FALSE,"1943-09-24T00:00:00","Gessate (MI)","2-5","1984-07-24T00:00:00","2004-07-19T00:00:00","Secondary school-leaving certificate in classical subjects. Degree in literature and philosophy. Diploma from the University of Neuchatel. Middle school teacher (1964-1966) and secondary school teacher (1966-1970). Assistant university lecturer (1970-1976). Journalist and author (1968-1999)."
1942,"Wilfried A.E. MARTENS","Wilfried A.E.","MARTENS","https://www.europarl.europa.eu/mepphoto/1942.jpg",FALSE,"1936-04-19T00:00:00","Sleidinge","4","1994-07-19T00:00:00","1999-07-19T00:00:00","Doctorate in law (Catholic University of Louvain, 1960). Degree in notarial studies (Catholic University of Louvain, 1960). Baccalaureate in Thomist philosophy (Catholic University of Louvain, 1960). International Seminar (Harvard University, 1968). Lawyer (Ghent, since 1960). Adviser in the Prime Minister's private office (1965-1966). Special assistant in a ministerial private office (1968)."
4559,"Maria MARTENS","Maria","MARTENS","https://www.europarl.europa.eu/mepphoto/4559.jpg",FALSE,"1955-01-08T00:00:00","Doetinchem","5-6","1999-07-20T00:00:00","2009-07-13T00:00:00","Higher degree in theology (1984); NIMA (Netherlands Marketing Institute) A and B diplomas."
4341,"Hugues MARTIN","Hugues","MARTIN","https://www.europarl.europa.eu/mepphoto/4341.jpg",FALSE,"1942-01-02T00:00:00","Macon","5-5","1999-07-20T00:00:00","2004-07-19T00:00:00","Baccalaureate in philosophy. Executive in a forestry company (SOFO-EST) (1964). Insurance consultant."
2215,"Philippe-Armand MARTIN","Philippe-Armand","MARTIN","https://www.europarl.europa.eu/mepphoto/2215.jpg",FALSE,"1949-04-28T00:00:00","Cumières","4-4","1994-07-19T00:00:00","1999-07-19T00:00:00","Mayor. Member of the National Assembly, RPR special rapporteur on the common organization of the market in wine, vice-chairman of the trade and craft industry research group, chairman of the winegrowing group and member of the clearance of accounts committee."
771,"Gilles MARTINET","Gilles","MARTINET","https://www.europarl.europa.eu/mepphoto/771.jpg",FALSE,"1916-08-08T00:00:00","Paris","1","1979-07-17T00:00:00","1981-11-22T00:00:00",NA
946,"Simone M.M. MARTIN","Simone M.M.","MARTIN","https://www.europarl.europa.eu/mepphoto/946.jpg",FALSE,"1943-04-14T00:00:00","Tourcoing","1-2-3","1979-07-17T00:00:00","1994-07-18T00:00:00","Qualified nurse."
966,"Jean-Claude MARTINEZ","Jean-Claude","MARTINEZ","https://www.europarl.europa.eu/mepphoto/966.jpg",FALSE,"1945-07-30T00:00:00","Sète","3-4-5-6-6","1989-09-05T00:00:00","2009-07-13T00:00:00","Postgraduate teaching qualification in law (1975)."
28375,"Jan Tadeusz MASIEL","Jan Tadeusz","MASIEL","https://www.europarl.europa.eu/mepphoto/28375.jpg",FALSE,"1963-03-28T00:00:00","Siemiatycze","6-6","2004-07-20T00:00:00","2009-07-13T00:00:00","Master of Psychology, Catholic University of Lublin (KUL)(1987). Diploma in teaching French language from the Alliance Française, Brussels (1993). Certificate of completion of a three-year programme in psychoanalytical psychotherapy with the Conseil de Formation Continue en Psychiatrie (CFCP) at the University of Louvain-la-Neuve (1997)."
1793,"Renato MASSARI","Renato","MASSARI","https://www.europarl.europa.eu/mepphoto/1793.jpg",FALSE,"1920-02-24T00:00:00","Milano","2","1984-07-24T00:00:00","1987-02-01T00:00:00","Graduate of a Higher Technical Institute. Publicist."
2079,"Graham MATHER","Graham","MATHER","https://www.europarl.europa.eu/mepphoto/2079.jpg",FALSE,"1954-10-23T00:00:00","Preston","4","1994-07-19T00:00:00","1999-07-19T00:00:00","Educated at Hutton Grammar School and New College, Oxford; MA in Jurisprudence. Former General Director, Institute of Economic Affairs. Former Head of Policy Unit, Institute of Directors."
