"mep_id","CRE","WDECL","COMPARL","REPORT","REPORT_SHADOW","COMPARL_SHADOW","MOTION","OQ","WEXP","WQ","MINT","IMOTION","PRUNACT"
96775,5,0,0,0,0,0,0,0,0,9,0,1,0
96776,64,0,0,1,0,0,36,9,0,24,0,0,0
96779,46,0,2,9,0,0,7,5,0,12,0,0,0
96780,63,0,7,21,0,0,8,3,7,18,0,0,0
96787,81,0,2,4,0,0,12,1,0,56,0,0,0
96791,58,0,2,1,0,0,162,8,3,30,0,1,0
96796,23,0,0,10,0,0,111,3,0,8,1,0,1
96801,19,0,0,2,0,0,57,2,4,11,0,0,0
96808,44,0,0,1,0,0,5,3,65,42,0,0,0
96809,62,0,0,1,0,0,40,4,72,31,0,0,0
96810,84,0,2,0,0,0,193,3,286,147,0,7,0
96811,57,0,6,0,0,0,10,5,14,85,0,1,0
96812,351,0,4,16,0,0,46,15,50,58,0,0,0
96820,79,0,0,1,0,0,99,12,670,143,0,2,0
96826,53,0,0,0,0,0,2,2,194,14,0,0,0
96829,98,0,0,0,0,0,3,5,474,33,0,0,0
96830,133,0,2,1,0,0,3,3,591,15,0,0,0
96833,37,0,1,4,0,0,0,1,7,14,0,0,0
96837,26,0,7,1,0,0,4,2,8,36,0,0,0
96842,20,0,1,2,0,0,0,1,0,14,0,0,0
96844,8,0,0,2,0,0,5,0,1,3,0,0,0
96852,71,0,0,2,0,0,26,6,2,163,0,0,0
96864,414,0,0,0,0,0,0,0,0,0,0,1,0
96867,92,0,3,6,0,0,11,6,834,138,0,3,0
96868,45,0,3,3,0,0,8,4,0,41,0,1,0
96880,19,0,0,1,0,0,102,3,7,38,0,0,0
96885,8,0,2,4,0,0,2,2,34,42,0,1,0
96891,55,0,4,1,0,0,6,0,0,58,0,0,0
96892,1,0,0,2,0,0,0,0,0,0,0,0,0
96899,104,0,10,17,0,0,111,3,1048,132,0,3,0
96903,174,0,2,12,0,0,164,0,50,81,0,1,0
96911,48,0,0,3,0,0,2,10,8,58,0,1,0
96922,145,0,3,8,0,0,297,6,1265,189,0,0,0
96932,62,0,0,7,0,0,33,4,3,32,0,0,0
96933,28,0,0,3,0,0,68,2,1,30,0,3,0
96934,57,0,0,5,0,0,230,0,52,1,0,0,0
