"UserID","Term_1","Term_2","Term_3","Term_4","Term_5","Term_6","Term_7","Term_8","Term_9"
23853,NA,NA,NA,NA,330,1819,NA,NA,NA
2243,NA,NA,NA,1826,NA,NA,NA,NA,NA
28182,NA,NA,NA,NA,NA,1819,1490,NA,NA
4529,NA,NA,NA,NA,1826,1819,1812,NA,NA
96823,NA,NA,NA,NA,NA,NA,1812,NA,NA
1186,NA,NA,1819,1826,1768,1819,1812,NA,NA
4541,NA,NA,NA,NA,1826,1819,934,NA,NA
96959,NA,NA,NA,NA,NA,NA,1812,NA,NA
2173,NA,NA,NA,1826,1826,1819,1812,NA,NA
1405,NA,1826,1819,1826,1826,1819,1571,NA,NA
96904,NA,NA,NA,NA,NA,NA,1163,NA,NA
4560,NA,NA,NA,NA,1826,1819,1812,NA,2914481
96685,NA,NA,NA,NA,NA,NA,1812,NA,NA
96792,NA,NA,NA,NA,NA,NA,1812,NA,NA
4238,NA,NA,NA,NA,1826,1819,1812,NA,NA
4346,NA,NA,NA,NA,1826,1819,1812,NA,NA
28338,NA,NA,NA,NA,NA,1819,1812,NA,NA
4462,NA,NA,NA,NA,1826,NA,1812,NA,NA
4412,NA,NA,NA,NA,1826,1819,441,NA,NA
95017,NA,NA,NA,NA,NA,203,1812,NA,NA
4393,NA,NA,NA,NA,1826,1819,1339,NA,NA
96906,NA,NA,NA,NA,NA,NA,1144,NA,NA
4275,NA,NA,NA,NA,1826,1819,1812,NA,NA
28362,NA,NA,NA,NA,NA,1819,1812,NA,NA
96817,NA,NA,NA,NA,NA,NA,158,NA,NA
4348,NA,NA,NA,NA,1826,1819,1812,NA,NA
96910,NA,NA,NA,NA,NA,NA,1812,NA,NA
96652,NA,NA,NA,NA,NA,NA,1812,NA,NA
96800,NA,NA,NA,NA,NA,NA,167,NA,NA
97020,NA,NA,NA,NA,NA,NA,1812,NA,NA
96999,NA,NA,NA,NA,NA,NA,910,NA,NA
28112,NA,NA,NA,NA,NA,1819,1812,NA,NA
28255,NA,NA,NA,NA,NA,1819,1812,NA,NA
96930,NA,NA,NA,NA,NA,NA,1812,NA,NA
97280,NA,NA,NA,NA,NA,NA,143,NA,NA
96695,NA,NA,NA,NA,NA,NA,1812,NA,NA
96760,NA,NA,NA,NA,NA,NA,1812,NA,NA
96701,NA,NA,NA,NA,NA,NA,1812,NA,NA
1073,NA,NA,1819,1826,1826,1819,615,NA,NA
28506,NA,NA,NA,NA,NA,1819,97,NA,NA
96653,NA,NA,NA,NA,NA,NA,1812,NA,2913540
1394,1833,1826,1819,NA,1328,1819,1812,NA,213
96861,NA,NA,NA,NA,NA,NA,1812,NA,NA
39714,NA,NA,NA,NA,NA,461,1812,NA,NA
96794,NA,NA,NA,NA,NA,NA,1812,NA,NA
4328,NA,NA,NA,NA,1826,1819,614,NA,NA
97230,NA,NA,NA,NA,NA,NA,250,NA,NA
96783,NA,NA,NA,NA,NA,NA,1812,NA,NA
1122,NA,NA,1819,1826,1826,1819,1812,NA,NA
23819,NA,NA,NA,NA,79,1819,1812,NA,NA
23705,NA,NA,NA,NA,79,1819,1812,NA,NA
26829,NA,NA,NA,NA,79,1819,766,NA,NA
1191,NA,NA,1819,1826,1826,1819,1812,NA,NA
28279,NA,NA,NA,NA,NA,1819,1812,NA,NA
97007,NA,NA,NA,NA,NA,NA,1812,NA,NA
97197,NA,NA,NA,NA,NA,NA,195,NA,NA
38602,NA,NA,NA,NA,NA,768,1812,NA,NA
97050,NA,NA,NA,NA,NA,NA,1812,NA,NA
96900,NA,NA,NA,NA,NA,NA,1812,NA,NA
28572,NA,NA,NA,NA,NA,1819,1812,NA,NA
34234,NA,NA,NA,NA,NA,155,1812,NA,NA
96654,NA,NA,NA,NA,NA,NA,1812,NA,NA
96902,NA,NA,NA,NA,NA,NA,1812,NA,NA
96989,NA,NA,NA,NA,NA,NA,1812,NA,NA
96890,NA,NA,NA,NA,NA,NA,1812,NA,NA
38595,NA,NA,NA,NA,NA,581,1027,NA,2914817
39317,NA,NA,NA,NA,NA,651,1812,NA,NA
28406,NA,NA,NA,NA,NA,1819,1015,NA,NA
2229,NA,NA,NA,1826,1826,1819,1812,NA,NA
1253,1833,1826,1819,1826,1826,1819,1812,NA,NA
96658,NA,NA,NA,NA,NA,NA,1812,NA,NA
28370,NA,NA,NA,NA,NA,522,1812,NA,NA
23782,NA,NA,NA,NA,79,1819,1812,NA,NA
96994,NA,NA,NA,NA,NA,NA,1812,NA,NA
1906,NA,NA,NA,1826,1826,1819,1812,NA,NA
96925,NA,NA,NA,NA,NA,NA,1812,NA,NA
96875,NA,NA,NA,NA,NA,NA,1812,NA,NA
28330,NA,NA,NA,NA,NA,1819,1615,NA,NA
96686,NA,NA,NA,NA,NA,NA,1812,NA,NA
28349,NA,NA,NA,NA,NA,1819,1812,NA,NA
97229,NA,NA,NA,NA,NA,NA,76,NA,NA
97199,NA,NA,NA,NA,NA,NA,206,NA,NA
28352,NA,NA,NA,NA,NA,1819,1812,NA,NA
96990,NA,NA,NA,NA,NA,NA,1812,NA,NA
28409,NA,NA,NA,NA,NA,1628,1812,NA,NA
96819,NA,NA,NA,NA,NA,NA,206,NA,NA
96664,NA,NA,NA,NA,NA,NA,105,NA,NA
97196,NA,NA,NA,NA,NA,NA,77,NA,NA
1183,NA,NA,1819,1826,1826,1819,1812,NA,NA
23707,NA,NA,NA,NA,79,1819,1812,NA,NA
96988,NA,NA,NA,NA,NA,NA,1812,NA,NA
4294,NA,NA,NA,NA,1826,1819,1812,NA,NA
96889,NA,NA,NA,NA,NA,NA,154,NA,NA
28295,NA,NA,NA,NA,NA,1819,1812,NA,NA
96746,NA,NA,NA,NA,NA,NA,1812,NA,NA
4423,NA,NA,NA,NA,1826,1819,206,NA,NA
97308,NA,NA,NA,NA,NA,NA,250,NA,NA
28139,NA,NA,NA,NA,NA,1819,1812,NA,NA
4274,NA,NA,NA,NA,1826,998,1812,NA,NA
1930,NA,NA,NA,1826,1826,1819,1812,NA,NA
96827,NA,NA,NA,NA,NA,NA,1812,NA,NA
1933,NA,NA,NA,1826,1826,1819,1812,NA,NA
96731,NA,NA,NA,NA,NA,NA,1812,NA,NA
96671,NA,NA,NA,NA,NA,NA,1337,NA,NA
96843,NA,NA,NA,NA,NA,NA,129,NA,NA
28252,NA,NA,NA,NA,NA,1819,1812,NA,NA
96789,NA,NA,NA,NA,NA,NA,1812,NA,NA
96865,NA,NA,NA,NA,NA,NA,1392,NA,NA
33990,NA,NA,NA,NA,NA,581,1812,NA,NA
96755,NA,NA,NA,NA,NA,NA,200,NA,NA
1309,NA,NA,1819,1826,1826,1050,1812,NA,NA
96960,NA,NA,NA,NA,NA,NA,655,NA,NA
28380,NA,NA,NA,NA,NA,1819,545,NA,NA
2081,NA,NA,NA,1826,1826,1819,1812,NA,NA
96770,NA,NA,NA,NA,NA,NA,1812,NA,NA
97018,NA,NA,NA,NA,NA,NA,392,NA,NA
37676,NA,NA,NA,NA,NA,924,1666,NA,NA
28299,NA,NA,NA,NA,NA,1819,1812,223,NA
997,NA,NA,1751,NA,1826,1819,1812,NA,NA
96905,NA,NA,NA,NA,NA,NA,97,NA,NA
28170,NA,NA,NA,NA,NA,1819,1812,NA,NA
97008,NA,NA,NA,NA,NA,NA,1812,NA,NA
4546,NA,NA,NA,NA,1826,1819,1812,NA,NA
34254,NA,NA,NA,NA,NA,593,758,NA,NA
96863,NA,NA,NA,NA,NA,NA,1220,NA,NA
28320,NA,NA,NA,NA,NA,1819,1812,NA,NA
