"UserID","full","sur","family","Photo","active","date","place","Gender"
193879,"Igor GRÄZIN","Igor","GRÄZIN","https://www.europarl.europa.eu/mepphoto/193879.jpg",FALSE,"1952-06-27T00:00:00","TARTU",NA
125047,"Paloma LÓPEZ BERMEJO","Paloma","LÓPEZ BERMEJO","https://www.europarl.europa.eu/mepphoto/125047.jpg",FALSE,"1962-02-20T00:00:00","Madrid","F"
125100,"Miguel VIEGAS","Miguel","VIEGAS","https://www.europarl.europa.eu/mepphoto/125100.jpg",FALSE,"1969-06-27T00:00:00","Paris (FR)","M"
124968,"Therese COMODINI CACHIA","Therese","COMODINI CACHIA","https://www.europarl.europa.eu/mepphoto/124968.jpg",FALSE,"1973-02-23T00:00:00","Attard","F"
96668,"Seán KELLY","Seán","KELLY","https://www.europarl.europa.eu/mepphoto/96668.jpg",TRUE,"1952-04-26T00:00:00","Killarney","M"
124850,"Emil RADEV","Emil","RADEV","https://www.europarl.europa.eu/mepphoto/124850.jpg",TRUE,"1971-05-26T00:00:00","Varna","M"
125091,"Sofia SAKORAFA","Sofia","SAKORAFA","https://www.europarl.europa.eu/mepphoto/125091.jpg",FALSE,"1957-04-29T00:00:00","Trikala, Thessalia","F"
96812,"Juan Fernando LÓPEZ AGUILAR","Juan Fernando","LÓPEZ AGUILAR","https://www.europarl.europa.eu/mepphoto/96812.jpg",TRUE,"1961-06-10T00:00:00",NA,"M"
124766,"Petras AUŠTREVIČIUS","Petras","AUŠTREVIČIUS","https://www.europarl.europa.eu/mepphoto/124766.jpg",TRUE,"1963-05-16T00:00:00","Vilnius","M"
98341,"Eva MAYDELL","Eva","MAYDELL","https://www.europarl.europa.eu/mepphoto/98341.jpg",TRUE,"1986-01-26T00:00:00","Sofia","F"
96775,"Lara COMI","Lara","COMI","https://www.europarl.europa.eu/mepphoto/96775.jpg",TRUE,"1983-02-18T00:00:00","Garbagnate Milanese","F"
124769,"Sophie MONTEL","Sophie","MONTEL","https://www.europarl.europa.eu/mepphoto/124769.jpg",FALSE,"1969-11-22T00:00:00","Montbéliard","F"
1654,"Emmanouil GLEZOS","Emmanouil","GLEZOS","https://www.europarl.europa.eu/mepphoto/1654.jpg",FALSE,"1922-08-28T00:00:00","Aperathu Naxos","M"
96735,"Patrick LE HYARIC","Patrick","LE HYARIC","https://www.europarl.europa.eu/mepphoto/96735.jpg",FALSE,"1957-02-04T00:00:00","Orléans","M"
124811,"Laura AGEA","Laura","AGEA","https://www.europarl.europa.eu/mepphoto/124811.jpg",FALSE,"1978-02-17T00:00:00","Narni","F"
4436,"Gianni PITTELLA","Gianni","PITTELLA","https://www.europarl.europa.eu/mepphoto/4436.jpg",FALSE,"1958-11-19T00:00:00","Lauria (PZ)","M"
125031,"Pablo IGLESIAS","Pablo","IGLESIAS","https://www.europarl.europa.eu/mepphoto/125031.jpg",FALSE,"1978-10-17T00:00:00","Madrid","M"
28298,"Iratxe GARCÍA PÉREZ","Iratxe","GARCÍA PÉREZ","https://www.europarl.europa.eu/mepphoto/28298.jpg",TRUE,"1974-10-07T00:00:00","Baracaldo","F"
125053,"Jordi Vicent SEBASTIA TALAVERA","Jordi Vicent","SEBASTIA TALAVERA","https://www.europarl.europa.eu/mepphoto/125053.jpg",FALSE,"1966-11-23T00:00:00","Valencia","M"
125065,"Elissavet VOZEMBERG-VRIONIDI","Elissavet","VOZEMBERG-VRIONIDI","https://www.europarl.europa.eu/mepphoto/125065.jpg",TRUE,"1956-09-14T00:00:00","Athina","F"
28233,"Rebecca HARMS","Rebecca","HARMS","https://www.europarl.europa.eu/mepphoto/28233.jpg",FALSE,"1956-12-07T00:00:00","Hambrock bei Uelzen","F"
124796,"David BORRELLI","David","BORRELLI","https://www.europarl.europa.eu/mepphoto/124796.jpg",FALSE,"1971-04-28T00:00:00","Treviso","M"
119435,"Davor Ivo STIER","Davor Ivo","STIER","https://www.europarl.europa.eu/mepphoto/119435.jpg",FALSE,"1972-01-06T00:00:00","Buenos Aires","M"
124778,"Marco VALLI","Marco","VALLI","https://www.europarl.europa.eu/mepphoto/124778.jpg",FALSE,"1985-06-29T00:00:00","Milano","M"
125050,"Ángela VALLINA","Ángela","VALLINA","https://www.europarl.europa.eu/mepphoto/125050.jpg",FALSE,"1959-07-06T00:00:00","Asturias","F"
111589,"Inês Cristina ZUBER","Inês Cristina","ZUBER","https://www.europarl.europa.eu/mepphoto/111589.jpg",FALSE,"1980-03-11T00:00:00","Évora","F"
125038,"Maite PAGAZAURTUNDÚA","Maite","PAGAZAURTUNDÚA","https://www.europarl.europa.eu/mepphoto/125038.jpg",TRUE,"1965-02-11T00:00:00","Donostia San Sebastián","F"
124927,"Branislav ŠKRIPEK","Branislav","ŠKRIPEK","https://www.europarl.europa.eu/mepphoto/124927.jpg",FALSE,"1970-08-30T00:00:00","Piešťany","M"
97058,"Guy VERHOFSTADT","Guy","VERHOFSTADT","https://www.europarl.europa.eu/mepphoto/97058.jpg",TRUE,"1953-04-11T00:00:00","Dendermonde","M"
124710,"Michaela ŠOJDROVÁ","Michaela","ŠOJDROVÁ","https://www.europarl.europa.eu/mepphoto/124710.jpg",TRUE,"1963-10-28T00:00:00","Zlín","F"
96603,"Nessa CHILDERS","Nessa","CHILDERS","https://www.europarl.europa.eu/mepphoto/96603.jpg",FALSE,"1956-10-09T00:00:00","Dublin","F"
