FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Zdzisław KRASNODĘBSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marek JUREK;328;0;0;0;0;0;22;2;0;14;0;0;0
Bogdan Andrzej ZDROJEWSKI;307;2;14;3;0;0;80;2;60;41;0;0;0
Michał MARUSIK;43;0;0;0;0;0;1;2;0;35;0;1;0
Krzysztof HETMAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Michał BONI;77;2;5;7;0;0;19;15;0;24;1;1;0
Stanisław OŻÓG;54;2;0;0;0;0;13;6;1;61;0;0;0
Julia PITERA;53;1;2;1;0;0;44;6;0;29;1;0;0
Andrzej DUDA;10;0;0;19;0;0;2;1;0;6;0;0;0
Beata GOSIEWSKA;161;1;0;0;0;0;13;4;8;15;0;0;0
Jana ŽITŇANSKÁ;419;14;3;1;0;0;212;7;308;79;1;0;0
Stanisław ŻÓŁTEK;17;0;0;0;0;0;1;1;0;0;0;1;0
Bogdan Brunon WENTA;148;10;2;3;0;0;258;4;0;32;0;0;0
József NAGY;414;5;0;3;0;0;180;5;156;28;1;0;0
Branislav ŠKRIPEK;673;6;1;5;0;0;217;3;606;24;1;0;0
Richard SULÍK;404;3;0;0;0;0;1;4;932;197;1;3;0
Ivan ŠTEFANEC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pál CSÁKY;341;4;0;0;0;0;12;8;250;55;3;0;0
Josep-Maria TERRICABRAS;111;3;2;1;0;0;44;23;2;208;0;0;0
Ernest MARAGALL;88;2;1;1;0;0;35;2;0;123;0;0;0
Monika VANA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Michel REIMON;35;0;0;1;0;0;54;3;0;17;0;0;0
Maria ARENA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Peter ERIKSSON;27;0;0;1;0;0;11;1;0;5;0;0;0
Janice ATKINSON;100;0;0;0;0;0;4;0;0;24;0;2;0
Diane JAMES;508;1;0;0;0;0;1;1;107;1;0;0;0
Patrick O'FLYNN;62;0;0;0;0;0;1;0;0;6;0;0;0
Raymond FINCH;46;0;0;0;0;0;2;0;0;102;0;0;0
Molly SCOTT CATO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Andrew LEWER;18;3;1;0;0;0;12;3;1;6;0;0;0
Clare MOODY;53;2;4;1;0;0;15;1;0;32;0;0;0
Margot PARKER;417;0;0;0;0;0;1;2;768;134;0;0;0
Edouard MARTIN;52;2;1;1;0;0;27;14;145;25;0;0;0
Siôn SIMON;903;9;1;0;0;0;100;2;564;493;0;0;0
Lucy ANDERSON;61;4;1;1;0;0;2;6;1;65;0;0;0
Jill SEYMOUR;363;0;0;0;0;0;1;0;617;14;0;0;0
Bill ETHERIDGE;294;0;0;0;0;0;1;0;252;47;0;0;0
Seb DANCE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jude KIRTON-DARLING;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paul BRANNEN;35;0;0;0;0;0;12;5;0;34;0;0;0
Jane COLLINS;324;0;0;0;0;0;1;1;177;12;0;0;0
Amjad BASHIR;49;0;0;1;0;0;14;2;0;6;0;0;0
Mike HOOKEM;270;0;0;0;0;0;1;0;423;30;0;0;0
Jonathan ARNOTT;1141;0;0;0;0;0;2;0;1161;164;0;0;0
Ian DUNCAN;119;6;0;0;0;0;8;5;0;29;0;0;0
Theresa GRIFFIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afzal KHAN;843;2;0;0;0;0;146;3;14;69;0;0;0
Julie WARD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Louise BOURS;53;0;0;0;0;0;1;1;0;5;0;0;0
Nathan GILL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Steven WOOLFE;140;0;0;0;0;0;1;0;22;78;0;0;0
David COBURN;353;0;0;0;0;0;2;1;0;17;0;0;0
Therese COMODINI CACHIA;721;5;3;0;0;0;129;4;21;81;0;0;0
Anneliese DODDS;0;3;0;0;0;0;0;0;0;0;0;0;0
Miriam DALLI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
James CARVER;710;0;0;0;0;0;2;0;909;81;1;0;0
Ernest URTASUN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gerolf ANNEMANS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lynn BOYLAN;0;5;0;0;0;0;0;0;1010;0;0;0;0
Luke Ming FLANAGAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Matt CARTHY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liadh NÍ RIADA;519;3;6;3;0;0;38;19;929;163;2;0;0
Deirdre CLUNE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fredrick FEDERLEY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lars ADAKTUSSON;132;2;0;0;0;0;78;3;51;11;1;0;0
Jytte GUTELAND;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Malin BJÖRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bodil VALERO;145;0;3;5;0;0;272;19;10;108;0;0;0
Max ANDERSSON;51;0;0;3;0;0;4;2;7;33;0;0;0
Kristina WINBERG;104;0;0;0;0;0;9;1;0;11;2;0;0
Peter LUNDGREN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Soraya POST;134;2;3;3;0;0;192;23;2;40;1;0;0
Harald VILIMSKY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hugues BAYET;993;15;1;4;0;0;179;18;405;492;0;3;0
Igor ŠOLTES;620;18;0;0;0;0;0;0;150;0;0;0;0
Franc BOGOVIČ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Javier NART;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Francisco de Paula GAMBUS MILLET;593;4;5;2;0;0;51;8;599;245;0;0;0
Daniel BUDA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Momchil NEKOV;293;8;3;1;0;0;124;15;153;103;2;0;0
Claudia SCHMIDT;40;0;5;3;0;0;1;3;2;33;0;0;0
Eugen FREUND;99;0;0;1;0;0;20;6;33;6;0;0;0
Cora van NIEUWENHUIZEN;47;0;0;3;0;0;0;6;12;23;0;0;0
Paul TANG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agnes JONGERIUS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Matthijs van MILTENBURG;39;0;4;1;0;0;19;3;0;25;0;1;0
Anja HAZEKAMP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Barbara KAPPEL;1019;5;2;4;0;0;14;14;824;162;1;4;0
Marcel de GRAAFF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Angelika MLINAR;109;7;8;5;0;0;13;22;0;23;0;0;0
Esteban GONZÁLEZ PONS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Olaf STUGER;86;0;0;0;0;0;1;9;0;57;0;6;0
Hans JANSEN;5;1;0;0;0;0;1;7;0;4;0;1;0
Annie SCHREIJER-PIERIK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pablo IGLESIAS;322;1;0;0;0;0;31;4;0;352;0;0;0
Ramón Luis VALCÁRCEL SISO;0;2;0;0;0;0;0;0;1024;0;0;0;0
Teresa RODRIGUEZ-RUBIO;72;0;0;0;0;0;5;0;0;13;0;0;0
Carlos JIMÉNEZ VILLAREJO;2;0;0;0;0;0;1;0;0;0;0;0;0
Lola SÁNCHEZ CALDENTEY;944;1;9;1;0;0;262;23;934;269;1;0;0
Pablo ECHENIQUE;90;0;0;0;0;0;5;0;0;18;0;0;0
Anne-Marie MINEUR;47;0;0;0;0;0;21;12;51;70;0;0;0
Maite PAGAZAURTUNDÚA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fernando MAURA BARANDIARÁN;29;3;2;0;0;0;53;1;0;169;0;0;0
Beatriz BECERRA BASTERRECHEA;297;9;4;2;0;0;377;18;224;254;1;1;0
Soledad CABEZÓN RUIZ;397;4;3;4;0;0;46;5;314;91;0;1;0
Javi LÓPEZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inma RODRÍGUEZ-PIÑERO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
José BLANCO LÓPEZ;1116;22;3;2;0;0;114;4;966;539;0;0;0
Clara AGUILERA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jonás FERNÁNDEZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paloma LÓPEZ BERMEJO;978;6;1;1;0;0;147;24;997;429;1;3;0
Marina ALBIOL GUZMÁN;1032;3;1;0;0;0;118;32;478;407;1;0;0
Maria Lidia SENRA RODRÍGUEZ;1116;6;0;1;0;0;86;18;1103;306;1;1;0
Ángela VALLINA;681;6;2;3;0;0;113;16;841;214;1;0;0
Josu JUARISTI ABAUNZ;133;4;1;0;0;0;57;19;7;182;1;1;0
Juan Carlos GIRAUTA VIDAL;160;2;0;0;0;0;102;5;0;71;0;0;0
Jordi Vicent SEBASTIA TALAVERA;74;12;3;0;0;0;61;5;0;169;0;0;0
Kostas CHRYSOGONOS;0;6;0;0;0;0;0;0;734;0;0;0;0
Georgios KATROUGKALOS;9;0;0;0;0;0;12;0;0;23;0;0;0
Georgios KYRTSOS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Maria SPYRAKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Elissavet VOZEMBERG-VRIONIDI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Theodoros ZAGORAKIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Manolis KEFALOGIANNIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Notis MARIAS;2540;1;3;3;0;0;121;3;960;165;0;0;0
Lampros FOUNTOULIS;0;2;0;0;0;0;0;0;1235;0;0;0;0
Georgios EPITIDEIOS;1213;3;0;0;0;0;1;8;1128;250;1;0;0
Eleftherios SYNADINOS;1154;7;0;0;0;0;0;1;1129;183;0;0;0
Sotirios ZARIANOPOULOS;306;0;0;0;0;0;0;0;254;122;0;2;0
Sofia SAKORAFA;115;3;1;5;0;0;112;31;53;106;1;0;0
Kostadinka KUNEVA;69;4;2;1;0;0;159;23;6;85;1;0;0
Kostas PAPADAKIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liliana RODRIGUES;566;3;1;1;0;0;73;8;760;52;2;0;0
Miguel VIEGAS;1252;4;3;4;0;0;27;16;1239;561;1;0;0
José Inácio FARIA;407;13;1;2;0;0;107;14;36;94;2;0;0
Patricija ŠULIN;725;51;1;3;0;0;215;11;606;105;3;12;0
Romana TOMC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Helga STEVENS;202;6;5;6;0;0;16;9;102;48;0;0;0
Johan VAN OVERTVELDT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Claude ROLIN;980;1;7;1;0;0;194;11;404;143;0;0;0
Louis IDE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eva KAILI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nikos ANDROULAKIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Giorgos GRAMMATIKAKIS;26;0;1;1;0;0;3;1;0;23;0;0;0
Miltiadis KYRKOS;55;3;1;0;0;0;24;25;0;49;1;1;0
Iskra MIHAYLOVA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Curzio MALTESE;38;1;4;0;0;0;36;15;0;32;3;0;0
Eleonora FORENZA;170;4;2;3;0;0;85;28;4;80;2;1;0
Bronis ROPĖ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marco ZULLO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Massimiliano SALINI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Philippe LOISEAU;0;8;0;0;0;0;0;0;987;0;0;0;0
Jiří POSPÍŠIL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Javier COUSO PERMUY;1000;0;1;1;0;0;106;13;1006;422;1;0;0
Tania GONZÁLEZ PEÑAS;988;4;3;0;0;0;229;22;1280;256;1;1;0
Linnéa ENGSTRÖM;0;2;0;0;0;0;0;0;2;0;0;0;0
Sander LOONES;139;0;6;4;0;0;2;5;86;36;0;0;0
Urmas PAET;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tom VANDENKENDELAERE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emilian PAVEL;57;9;3;6;0;0;51;13;223;15;0;0;0
Enrique CALVET CHAMBON;81;5;3;2;0;0;10;7;16;75;0;0;0
Hilde VAUTMANS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Stelios KOULOGLOU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Damiano ZOFFOLI;75;4;4;1;0;0;84;7;6;79;1;0;0
Miguel URBÁN CRESPO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Estefanía TORRES MARTÍNEZ;0;0;0;0;0;0;0;0;0;0;0;0;0
Mihai ŢURCANU;124;2;0;1;0;0;0;4;109;9;2;0;0
Pirkko RUOHONEN-LERNER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Edward CZESAK;405;4;0;1;0;0;8;3;178;68;0;0;0
Karoline GRASWANDER-HAINZ;42;0;2;0;0;0;13;15;29;16;1;0;0
Stefano MAULLU;45;2;1;0;0;0;0;2;169;75;1;6;0
Jasenko SELIMOVIC;199;1;1;3;0;0;195;6;62;114;0;1;0
Xabier BENITO ZILUAGA;620;0;0;0;0;0;204;15;1105;116;1;0;0
María Teresa GIMÉNEZ BARBAT;52;2;1;1;0;0;123;7;16;104;0;0;0
Czesław HOC;64;0;0;1;0;0;3;0;1;43;0;0;0
Sławomir KŁOSOWSKI;8;0;0;0;0;0;3;0;0;1;0;0;0
João PIMENTA LOPES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lieve WIERINCK;124;0;2;0;0;0;3;3;939;13;0;0;0
Jakop G. DALUNDE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Angelo CIOCCA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ivica TOLIĆ;97;0;0;0;0;0;6;5;565;7;4;0;0
Željana ZOVKO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tiemo WÖLKEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
John PROCTER;0;0;0;0;0;0;0;0;0;3;0;0;0
Alex MAYER;74;0;0;0;0;0;3;4;47;44;0;0;0
Jordi SOLÉ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arndt KOHN;20;0;3;8;0;0;0;0;1;2;0;0;0
Patricia LALONDE;10;0;0;0;0;0;94;1;16;10;1;0;0
André ELISSEN;32;0;0;0;0;0;0;0;0;26;0;0;0
Rupert MATTHEWS;15;0;0;0;0;0;0;0;0;40;0;0;0
John FLACK;10;0;1;0;0;0;1;5;1;10;0;0;0
Wajid KHAN;41;0;0;1;0;0;8;4;15;12;1;0;0
John HOWARTH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Christelle LETARD-LECHEVALIER;20;0;0;0;0;0;0;0;468;8;0;1;0
Marie-Pierre VIEU;16;0;0;1;0;0;30;7;91;11;1;0;0
Jonathan BULLOCK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Francis ZAMMIT DIMECH;29;0;2;0;0;0;66;0;650;25;0;0;0
Dennis RADTKE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
France JAMET;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Baroness Nosheena MOBARIK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Răzvan POPA;0;0;0;0;0;0;0;0;304;28;0;0;0
Jiří PAYNE;14;0;0;0;0;0;0;0;5;5;0;0;0
Asim ADEMOV;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rory PALMER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thomas WAITZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Martin SCHIRDEWAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jörg MEUTHEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Caroline NAGTEGAAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lukas MANDL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Geoffroy DIDIER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Michael DETJEN;16;0;1;0;0;0;0;0;2;3;0;0;0
Maria Gabriela ZOANĂ;61;0;2;1;0;0;0;2;253;34;1;0;0
Jacques COLOMBIER;26;0;0;0;0;0;0;0;68;3;0;0;0
Elsi KATAINEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Miroslavs MITROFANOVS;9;0;0;2;0;0;0;1;0;0;0;0;0
Dobromir SOŚNIERZ;159;0;0;0;0;0;0;0;0;3;0;0;0
Aleksander GABELIC;7;0;0;0;0;0;4;0;53;3;0;0;0
Giuseppe FERRANDINO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Danilo Oscar LANCINI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Karine GLOANEC MAURIN;8;0;2;0;0;0;0;0;59;3;0;0;0
Mirja VEHKAPERÄ;5;0;0;0;0;0;29;0;0;1;0;0;0
Romeo FRANZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tilly METZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Christophe HANSEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Giovanni MICCICHÈ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Igor GRÄZIN;0;0;0;0;0;0;0;0;0;0;1;0;0
Stefan GEHROLD;4;0;0;0;0;0;0;1;0;0;1;0;0
Anders SELLSTRÖM;1;0;0;0;0;0;22;0;11;0;1;0;0
Ralph PACKET;23;0;1;0;0;0;0;0;12;2;0;0;0
Babette WINTER;4;0;0;1;0;0;1;1;0;1;0;0;0
Aleksejs LOSKUTOVS;1;0;0;0;0;0;0;0;0;1;0;0;0
